position,well,row,column,inducerId,inducerConcentration,inducerUnits,strain,plasmid
1,A1,A,1,IPTG,0,umol/L,none,none
2,B1,B,1,IPTG,0,umol/L,MG1655-dLac,pVER-IPTG-005
8,H1,H,1,IPTG,0,umol/L,none,none
9,A2,A,2,IPTG,0,umol/L,none,none
10,B2,B,2,IPTG,2,umol/L,MG1655-dLac,pVER-IPTG-005
16,H2,H,2,IPTG,0,umol/L,none,none
17,A3,A,3,IPTG,0,umol/L,none,none
18,B3,B,3,IPTG,4,umol/L,MG1655-dLac,pVER-IPTG-005
24,H3,H,3,IPTG,0,umol/L,none,none
25,A4,A,4,IPTG,0,umol/L,none,none
26,B4,B,4,IPTG,8,umol/L,MG1655-dLac,pVER-IPTG-005
32,H4,H,4,IPTG,0,umol/L,none,none
33,A5,A,5,IPTG,0,umol/L,none,none
34,B5,B,5,IPTG,16,umol/L,MG1655-dLac,pVER-IPTG-005
40,H5,H,5,IPTG,0,umol/L,none,none
41,A6,A,6,IPTG,0,umol/L,none,none
42,B6,B,6,IPTG,32,umol/L,MG1655-dLac,pVER-IPTG-005
48,H6,H,6,IPTG,0,umol/L,none,none
49,A7,A,7,IPTG,0,umol/L,none,none
50,B7,B,7,IPTG,64,umol/L,MG1655-dLac,pVER-IPTG-005
56,H7,H,7,IPTG,0,umol/L,none,none
57,A8,A,8,IPTG,0,umol/L,none,none
58,B8,B,8,IPTG,128,umol/L,MG1655-dLac,pVER-IPTG-005
64,H8,H,8,IPTG,0,umol/L,none,none
65,A9,A,9,IPTG,0,umol/L,none,none
66,B9,B,9,IPTG,256,umol/L,MG1655-dLac,pVER-IPTG-005
72,H9,H,9,IPTG,0,umol/L,none,none
73,A10,A,10,IPTG,0,umol/L,none,none
74,B10,B,10,IPTG,512,umol/L,MG1655-dLac,pVER-IPTG-005
80,H10,H,10,IPTG,0,umol/L,none,none
81,A11,A,11,IPTG,0,umol/L,none,none
82,B11,B,11,IPTG,1024,umol/L,MG1655-dLac,pVER-IPTG-005
88,H11,H,11,IPTG,0,umol/L,none,none
89,A12,A,12,IPTG,0,umol/L,none,none
90,B12,B,12,IPTG,2048,umol/L,MG1655-dLac,pVER-IPTG-005
96,H12,H,12,IPTG,0,umol/L,none,none
